mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
0,0,0,0,18446744073709551608,0,0,0
0,0,0,0,30586,1546,0,0
0,0,0,0,30586,1546,0,0
0,0,0,0,53538,3451,0,0
mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
0,0,0,0,18446744073709551603,0,0,0
0,0,0,0,18544,1037,0,0
0,0,0,0,18544,1037,0,0
0,0,0,0,30084,1365,0,0
mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
0,0,0,0,18446744073709551593,0,0,0
0,0,0,0,28666,2566,0,0
0,0,0,0,28666,2566,0,0
0,0,0,0,49803,3360,0,0
mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
0,0,0,0,18446744073709551615,0,0,0
0,0,0,0,19624,2353,0,0
mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
0,0,0,0,18446744073709551614,0,0,0
0,0,0,0,14683,666,0,0
mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
0,0,0,0,18446744073709551560,0,0,0
0,0,0,0,30427,906,0,0
0,0,0,0,30427,906,0,0
0,0,0,0,59631,3263,0,0
